customer_id,gender,SeniorCitizen,Partner,Dependents,Contract,InternetService,PaymentMethod,PaperlessBilling,tenure,MonthlyCharges,TotalCharges,is_high_value_customer,is_new_customer,CustomerFeedback
1001,Female,No,Yes,No,Month-to-month,Fiber optic,Electronic check,Yes,2,96.5,193,High Value,New,Speed is extremely slow and outages happen daily. Very frustrating.
1002,Male,Yes,No,No,Two year,DSL,Credit card (automatic),No,68,42.5,2890,Regular,Existing,Service has been excellent for years. Very reliable.
1003,Female,No,Yes,No,Month-to-month,Fiber optic,Electronic check,Yes,1,90.2,90.2,High Value,New,Internet keeps disconnecting and support is not helpful.
1004,Male,Yes,No,No,One year,DSL,Mailed check,No,22,39.5,869,Regular,Existing,Good stable service so far.
1005,Female,No,No,No,Month-to-month,Fiber optic,Electronic check,Yes,3,102.1,306.3,High Value,New,Too expensive for the speed provided. Not satisfied.
1006,Male,No,Yes,Yes,Two year,DSL,Credit card (automatic),No,72,32.9,2368.8,Regular,Existing,Very happy with long-term plan and support.
1007,Female,Yes,No,No,Month-to-month,Fiber optic,Electronic check,Yes,10,98.6,986,High Value,Existing,Internet slows down every evening. Annoying.
1008,Male,Yes,No,No,One year,DSL,Bank transfer (automatic),No,16,36.2,579.2,Regular,Existing,Good service overall for the price.
1009,Female,No,Yes,No,Month-to-month,Fiber optic,Electronic check,Yes,4,92.7,370.8,High Value,New,Speed drops very often and affects work.
1010,Male,Yes,No,No,Two year,DSL,Credit card (automatic),No,48,44.1,2116.8,Regular,Existing,Very consistent and smooth browsing speed.
1011,Female,No,No,No,Month-to-month,Fiber optic,Electronic check,Yes,6,101.4,608.4,High Value,New,Not satisfied with customer service delays.
1012,Male,No,Yes,No,One year,DSL,Mailed check,No,27,34.8,939.6,Regular,Existing,Good network performance.
1013,Female,Yes,No,Yes,Month-to-month,Fiber optic,Electronic check,Yes,5,99.8,499,High Value,New,Service is unstable and overpriced.
1014,Male,Yes,No,No,Two year,DSL,Credit card (automatic),No,56,45.7,2559.2,Regular,Existing,Very reliable and no issues so far.
1015,Female,No,Yes,No,Month-to-month,Fiber optic,Electronic check,Yes,3,94.5,283.5,High Value,New,Frequent interruptions making it unusable.
1016,Male,No,No,No,One year,DSL,Bank transfer (automatic),No,34,35.9,1220.6,Regular,Existing,Good for streaming and browsing.
1017,Female,Yes,No,Yes,Month-to-month,Fiber optic,Electronic check,Yes,8,103.2,825.6,High Value,Existing,Thinking of switching due to slow speeds.
1018,Male,Yes,No,No,Two year,DSL,Mailed check,No,70,43.4,3038,Regular,Existing,Works perfectly for my daily usage.
1019,Female,No,No,No,Month-to-month,Fiber optic,Electronic check,Yes,7,96.7,676.9,High Value,New,Very disappointed with speed performance.
1020,Male,No,Yes,No,One year,DSL,Credit card (automatic),No,18,32.2,579.6,Regular,Existing,Service is smooth and reliable.
1021,Female,Yes,No,No,Month-to-month,Fiber optic,Electronic check,Yes,12,109.8,1317.6,High Value,Existing,Billing mistakes happening again and again.
1022,Male,Yes,No,No,Two year,DSL,Mailed check,No,62,41.8,2591.6,Regular,Existing,Long-term plan is very stable.
1023,Female,No,Yes,No,Month-to-month,Fiber optic,Electronic check,Yes,3,87.5,262.5,High Value,New,Speed lower than promised. Not happy.
1024,Male,No,No,No,One year,DSL,Credit card (automatic),No,25,38.6,965,Regular,Existing,Good and steady internet.
1025,Female,Yes,No,Yes,Month-to-month,Fiber optic,Electronic check,Yes,9,102.4,921.6,High Value,Existing,Overpriced for what I get.
1026,Male,Yes,No,No,Two year,DSL,Bank transfer (automatic),No,52,47.5,2470,Regular,Existing,Service reliability is excellent.
1027,Female,No,Yes,No,Month-to-month,Fiber optic,Electronic check,Yes,6,99.3,595.8,High Value,New,Unhappy with internet dropping randomly.
1028,Male,No,No,No,One year,DSL,Mailed check,No,22,33.9,745.8,Regular,Existing,Good internet for basic usage.
1029,Female,Yes,No,No,Month-to-month,Fiber optic,Electronic check,Yes,4,92.9,371.6,High Value,New,Experiencing frequent slowdowns.
1030,Male,Yes,No,No,Two year,DSL,Credit card (automatic),No,58,44.2,2563.6,Regular,Existing,Smooth and consistent service.
1031,Female,No,Yes,Yes,Month-to-month,Fiber optic,Electronic check,Yes,11,98.4,1082.4,High Value,Existing,Customer care never responds on time and issues remain unresolved.
1032,Male,No,No,No,One year,DSL,Mailed check,No,30,36.7,1101,Regular,Existing,Good connection stability and responsive support.
1033,Female,Yes,No,No,Month-to-month,Fiber optic,Electronic check,Yes,2,87.6,175.2,High Value,New,Internet drops every hour making it unusable.
1034,Male,Yes,No,No,Two year,DSL,Credit card (automatic),No,72,43.2,3110.4,Regular,Existing,Very reliable and consistent for the long term.
1035,Female,No,No,No,Month-to-month,Fiber optic,Electronic check,Yes,4,92.9,371.6,High Value,New,Charges are too high compared to service quality.
1036,Male,No,No,No,One year,DSL,Bank transfer (automatic),No,28,34.5,966,Regular,Existing,Good value and stable enough for browsing.
1037,Female,Yes,No,No,Month-to-month,Fiber optic,Electronic check,Yes,9,101.8,916.2,High Value,Existing,Experiencing slow speeds every evening.
1038,Male,Yes,No,No,Two year,DSL,Mailed check,No,67,42.8,2867.6,Regular,Existing,Very smooth performance across all devices.
1039,Female,No,Yes,Yes,Month-to-month,Fiber optic,Electronic check,Yes,6,94.6,567.6,High Value,New,Billing mistakes and slow speed issues.
1040,Male,No,No,No,One year,DSL,Credit card (automatic),No,22,32.9,723.8,Regular,Existing,Good service quality overall.
